"foldChange","dispersion","u","fdr","power","m","m1","X1","X2"
4,0.5,10,0.05,0.9,10000,100,14,2.764
4,0.5,10,0.05,0.9,10000,500,12,1.732
4,0.5,10,0.05,0.9,10000,1500,10,1.707
4,0.5,10,0.05,0.9,10000,3000,8,1.196
4,0.5,10,0.05,0.9,30000,100,16,2.946
4,0.5,10,0.05,0.9,30000,500,13,1.941
4,0.5,10,0.05,0.9,30000,1500,12,1.826
4,0.5,10,0.05,0.9,30000,3000,11,1.749
4,0.5,10,0.1,0.8,10000,100,11,1.789
4,0.5,10,0.1,0.8,10000,500,9,1.309
4,0.5,10,0.1,0.8,10000,1500,7,1.243
4,0.5,10,0.1,0.8,10000,3000,6,1.148
4,0.5,10,0.1,0.8,30000,100,13,1.734
4,0.5,10,0.1,0.8,30000,500,10,1.725
4,0.5,10,0.1,0.8,30000,1500,9,1.359
4,0.5,10,0.1,0.8,30000,3000,8,1.262
4,0.5,10,0.1,0.9,10000,100,13,1.748
4,0.5,10,0.1,0.9,10000,500,11,1.759
4,0.5,10,0.1,0.9,10000,1500,9,1.444
4,0.5,10,0.1,0.9,10000,3000,7,1.173
4,0.5,10,0.1,0.9,30000,100,15,1.97
4,0.5,10,0.1,0.9,30000,500,12,1.823
4,0.5,10,0.1,0.9,30000,1500,11,1.672
4,0.5,10,0.1,0.9,30000,3000,9,1.26
4,0.5,20,0.01,0.8,10000,100,14,6.718
4,0.5,20,0.01,0.8,10000,500,12,6.096
4,0.5,20,0.01,0.8,10000,1500,10,5.55200000000001
4,0.5,20,0.01,0.8,10000,3000,9,4.138
4,0.5,20,0.01,0.8,30000,100,15,6.30400000000001
4,0.5,20,0.01,0.8,30000,500,13,5.851
4,0.5,20,0.01,0.8,30000,1500,12,5.83800000000001
4,0.5,20,0.01,0.8,30000,3000,11,5.49
4,0.5,20,0.01,0.9,10000,100,16,6.66
4,0.5,20,0.01,0.9,10000,500,14,6.58599999999999
4,0.5,20,0.01,0.9,10000,1500,12,5.776
4,0.5,20,0.01,0.9,10000,3000,11,5.36200000000001
4,0.5,20,0.01,0.9,30000,100,18,14.018
4,0.5,20,0.01,0.9,30000,500,15,6.32200000000002
4,0.5,20,0.01,0.9,30000,1500,14,6.25699999999998
4,0.5,20,0.01,0.9,30000,3000,13,5.798
4,0.5,20,0.05,0.8,10000,100,12,5.80700000000002
4,0.5,20,0.05,0.8,10000,500,9,4.01999999999998
4,0.5,20,0.05,0.8,10000,1500,8,3.93700000000001
4,0.5,20,0.05,0.8,10000,3000,7,3.584
4,0.5,20,0.05,0.8,30000,100,13,5.55099999999999
4,0.5,20,0.05,0.8,30000,500,11,6.205
4,0.5,20,0.05,0.8,30000,1500,9,5.078
4,0.5,20,0.05,0.8,30000,3000,8,3.954
4,0.5,20,0.05,0.9,10000,100,14,7.309
4,0.5,20,0.05,0.9,10000,500,11,5.737
4,0.5,20,0.05,0.9,10000,1500,9,4.069
4,0.5,20,0.05,0.9,10000,3000,8,4.265
4,0.5,20,0.05,0.9,30000,100,15,6.58
4,0.5,20,0.05,0.9,30000,500,13,5.74
4,0.5,20,0.05,0.9,30000,1500,11,5.37
4,0.5,20,0.05,0.9,30000,3000,10,5.35
4,0.5,20,0.1,0.8,10000,100,11,5.618
4,0.5,20,0.1,0.8,10000,500,8,4.065
4,0.5,20,0.1,0.8,10000,1500,7,3.827
4,0.5,20,0.1,0.8,10000,3000,5,3.265
4,0.5,20,0.1,0.8,30000,100,12,5.56199999999999
4,0.5,20,0.1,0.8,30000,500,10,5.43200000000001
4,0.5,20,0.1,0.8,30000,1500,8,4.02799999999999
4,0.5,20,0.1,0.8,30000,3000,7,3.674
4,0.5,20,0.1,0.9,10000,100,13,5.551
4,0.5,20,0.1,0.9,10000,500,10,5.33000000000001
4,0.5,20,0.1,0.9,10000,1500,8,3.976
4,0.5,20,0.1,0.9,10000,3000,7,3.657
4,0.5,20,0.1,0.9,30000,100,14,6.33400000000001
4,0.5,20,0.1,0.9,30000,500,12,5.651
4,0.5,20,0.1,0.9,30000,1500,10,5.262
